"","temperatures","vpds"
"1",20.092121,4.150269
"2",21.026804,5.6164684
"3",20.052744,8.282101
"4",17.060137,4.0945044
"5",14.05073,4.317659
"6",11.785989,3.7402205
"7",11.600877,3.5257785
"8",13.0289955,3.5810518
"9",15.074311,3.8162801
"10",15.868642,6.531026
"11",16.127527,4.150375
"12",19.058245,4.5626698
"13",19.608257,2.936493
"14",18.558718,1.4190236
"15",18.678774,3.1092494
"16",14.949102,3.76124
"17",14.541449,2.2131827
"18",11.018355,3.1952302
"19",11.587487,2.3737102
"20",11.81755,3.450978
"21",14.091695,4.1099534
"22",16.364063,3.6902218
"23",15.188706,3.5927334
"24",16.317226,2.7768807
"25",18.222715,2.8648632
"26",17.867228,2.7149036
"27",18.587774,2.943429
"28",16.348068,2.9870875
"29",13.194928,2.882585
"30",10.411406,3.3934584
"31",10.534223,4.8100305
"32",11.494362,6.4023705
"33",15.707217,9.622167
"34",15.960304,6.293764
"35",16.890413,4.838108
"36",19.132772,6.454411
"37",20.076117,5.913266
"38",18.76835,3.2572567
"39",18.849663,3.1795366
"40",16.19189,3.7861428
"41",12.93212,4.3633924
"42",12.44529,4.13442
"43",11.178277,4.8352537
"44",11.180014,6.4587145
"45",14.020848,6.1982574
"46",15.8428335,8.466962
"47",16.730112,6.1872554
"48",20.029367,7.1806626
"49",20.338116,6.455974
"50",20.0281,5.266976
"51",18.719656,5.745403
"52",16.64366,4.909853
"53",13.158523,4.971592
"54",11.613056,5.180282
"55",9.865304,6.9248004
"56",11.961285,5.199057
"57",15.199314,7.8993754
"58",16.709637,9.127995
"59",18.827183,8.548
"60",19.390549,8.191603
"61",19.742397,8.174679
"62",19.002525,1.5037981
"63",17.385187,2.8035333
"64",15.334959,2.7483401
"65",13.541157,3.3639667
"66",11.93426,3.8610132
"67",10.402933,3.749696
"68",11.761488,5.111135
"69",15.335563,10.888548
"70",14.885615,5.4701314
"71",16.572218,6.8196464
"72",19.568815,5.0581293
"73",20.944607,5.4051385
"74",20.949295,6.5484114
"75",18.56351,3.4174497
"76",17.029034,3.9799075
"77",12.803767,5.5081635
"78",11.018547,5.247268
"79",10.859441,5.3097897
"80",11.608923,7.3273144
"81",13.953012,6.9663887
"82",17.234346,8.395485
"83",17.56948,6.4547496
"84",18.810507,4.902506
"85",19.948023,4.3511405
"86",20.345837,6.125496
"87",17.986471,6.3923225
"88",17.25196,4.3280964
"89",13.457935,4.359464
"90",12.482967,3.265805
"91",11.587584,4.4432626
"92",11.290705,5.5068073
"93",14.729053,6.363393
"94",17.857925,7.2930856
"95",18.088993,4.072691
"96",21.065145,8.513415
"97",20.646114,2.883177
"98",20.460777,3.9390204
"99",18.34464,3.6939394
"100",16.201986,6.1404324
"101",12.575683,5.5355144
"102",11.278375,3.6603715
"103",11.243608,4.596933
"104",12.361864,6.511287
"105",14.676669,4.3484344
"106",16.189869,6.281822
"107",17.50543,7.623449
"108",17.473764,4.9877057
"109",19.924557,5.3783283
"110",19.363735,4.4547453
"111",19.137682,5.508465
"112",16.45255,5.47424
"113",15.247471,4.6723676
"114",10.5628195,3.7164662
"115",9.483687,5.925806
"116",12.867256,5.7626786
"117",14.468636,6.574509
"118",17.577904,7.6992965
"119",17.021717,4.497072
"120",18.442436,2.3035908
"121",19.205383,1.2123932
"122",18.31466,1.9716687
"123",17.036695,3.8643732
"124",14.474671,3.7580929
"125",12.870186,4.9822445
"126",12.611373,3.7764494
"127",10.545106,3.9135916
"128",10.092023,6.315231
"129",15.107472,5.179588
"130",16.047651,5.9795322
"131",17.587898,4.065889
"132",19.137676,5.396705
"133",19.760912,3.803806
"134",19.567497,3.7288554
"135",18.506462,4.150943
"136",16.234575,3.69767
"137",13.071168,3.0474288
"138",11.553729,3.4251072
"139",10.610152,4.650379
"140",14.027592,8.336584
"141",14.906507,8.598488
"142",16.25483,8.7515955
"143",19.85793,8.524138
"144",20.604816,6.775162
"145",20.781025,7.609736
"146",19.704266,2.9055583
"147",18.292768,2.4765224
"148",16.966164,4.113543
"149",13.227243,3.5445046
"150",11.256812,3.4464025
"151",11.642902,3.157015
"152",11.114543,5.4682274
"153",14.837658,3.9987843
"154",15.054717,2.6652741
"155",16.767776,3.9335523
"156",18.081156,1.2783244
"157",19.544796,2.8302188
"158",19.82527,3.0484333
"159",18.426971,3.2329824
"160",15.834362,2.3723776
"161",12.06208,3.4076917
"162",10.390175,3.6175468
"163",9.98956,4.9645805
"164",12.067906,4.2787046
"165",13.469331,6.989259
"166",15.063549,3.963961
"167",18.968977,6.6680913
"168",16.833694,2.4535692
"169",18.721241,2.4324567
"170",19.177103,3.0902774
"171",17.758047,3.0088768
"172",16.13847,3.5604866
"173",12.642664,4.337638
"174",11.185397,3.087524
"175",10.920816,3.4598713
"176",11.320508,7.2624273
"177",14.290861,6.9266753
"178",16.0978,8.269276
"179",18.366388,7.0420775
"180",19.76893,6.443306
"181",20.913408,4.830179
"182",18.164072,2.0153008
"183",18.068737,2.1926692
"184",15.689862,3.728735
"185",12.838953,2.6835413
"186",11.519496,2.7667735
"187",12.107902,2.4233007
"188",12.495368,7.4277005
"189",16.259525,8.19964
"190",17.251692,8.7213955
"191",17.853132,7.2233186
"192",18.862522,6.7321463
"193",20.302483,6.629354
"194",19.987541,5.954826
"195",18.847143,4.9904084
"196",16.957182,4.924466
"197",13.763728,3.7141113
"198",12.173688,4.5027065
"199",10.239404,5.810019
"200",12.047729,4.3657537
"201",14.066115,6.503789
"202",17.327063,9.243047
"203",20.265305,8.786031
"204",19.752567,4.6908226
"205",20.177332,4.5352664
"206",18.880589,2.9595602
"207",19.71065,5.2693477
"208",15.472404,4.2642927
"209",13.607738,4.3124065
"210",12.070108,2.8203387
"211",10.365122,3.7072785
"212",12.2866335,5.81092
"213",13.448049,5.253296
"214",17.03948,7.642693
"215",19.1739,6.3042912
"216",18.579794,4.202222
"217",19.303452,4.6900177
"218",20.277382,5.267535
"219",19.334816,3.149547
"220",17.694168,3.954506
"221",15.081164,6.542668
"222",12.045516,3.591347
"223",12.185342,4.613277
"224",12.171362,4.7768803
"225",14.592792,5.2108335
"226",14.954157,7.341384
"227",18.433115,8.923289
"228",20.32411,6.824137
"229",21.53909,4.4096956
"230",21.470207,8.09222
"231",19.730879,2.6672254
"232",15.235403,3.6657927
"233",14.035726,2.5211298
"234",12.839512,3.4603105
"235",11.441255,5.8280044
"236",12.4111395,8.333132
"237",15.641753,10.560278
"238",17.359764,3.4865139
"239",16.608526,4.3604
"240",19.878817,5.754198
"241",20.701834,7.2145
"242",19.44437,3.8316658
"243",18.772217,2.5504081
"244",17.295328,4.582548
"245",13.41877,4.924287
"246",11.287535,4.8176303
"247",11.603524,5.552778
"248",11.437595,8.340522
"249",14.378167,5.459493
"250",16.374111,3.6440563
"251",18.052992,9.7753105
"252",19.838692,6.714102
"253",21.80256,9.443812
"254",20.537365,7.7361035
"255",20.162184,5.7599306
"256",16.564396,3.14591
"257",13.7998905,4.445465
"258",12.250408,3.3784418
"259",11.754744,5.193497
"260",12.372469,7.1377006
"261",15.188988,10.012407
"262",16.81326,8.777592
"263",19.368431,12.959462
"264",21.194626,11.78741
"265",21.588928,6.9637046
"266",20.089079,2.0575266
"267",18.124308,4.220849
"268",16.95809,6.6595984
"269",12.832524,4.080749
"270",12.104309,3.503586
"271",11.677984,4.2341433
"272",12.153145,6.830178
"273",14.923054,6.1807528
"274",16.859997,7.057741
"275",18.698885,9.404802
"276",19.949415,4.5189314
"277",19.313942,3.775151
"278",19.347736,3.5723057
"279",18.28541,2.331074
"280",15.182116,3.574506
"281",13.017814,2.827477
"282",11.173005,3.5867481
"283",11.06952,3.9155152
"284",12.525815,5.3171735
"285",14.050186,6.5174785
"286",16.811674,6.333902
"287",17.019989,3.7083683
"288",19.028776,4.417802
